"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12098","Add Samsung galaxy s6 to cart and verify","chromium","Tue Aug 12 01:04:04 IST 2025","failed","Tue Aug 12 01:04:16 IST 2025","","Phones.spec.js","",""
"","6151","Verify MacBook air details","firefox","Tue Aug 12 01:04:09 IST 2025","passed","Tue Aug 12 01:04:15 IST 2025","","Laptops.spec.js","",""
"","3105","Locate multiple elements and list their text","chromium","Tue Aug 12 01:03:58 IST 2025","passed","Tue Aug 12 01:04:01 IST 2025","","LocatingMultipleElements.spec.js","",""
"","8590","Add MacBook air to cart and verify","chromium","Tue Aug 12 01:03:55 IST 2025","passed","Tue Aug 12 01:04:03 IST 2025","","Laptops.spec.js","",""
"","3935","Verify Samsung galaxy s6 details","webkit","Tue Aug 12 01:04:37 IST 2025","passed","Tue Aug 12 01:04:41 IST 2025","","Phones.spec.js","",""
"","7280","Add Apple monitor 24 to cart and verify","chromium","Tue Aug 12 01:04:01 IST 2025","passed","Tue Aug 12 01:04:08 IST 2025","","Monitors.spec.js","",""
"","11864","Add Samsung galaxy s6 to cart and verify","webkit","Tue Aug 12 01:04:37 IST 2025","failed","Tue Aug 12 01:04:49 IST 2025","","Phones.spec.js","",""
"","9338","Add Apple monitor 24 to cart and verify","firefox","Tue Aug 12 01:04:16 IST 2025","passed","Tue Aug 12 01:04:26 IST 2025","","Monitors.spec.js","",""
"","2375","Monitors list check","chromium","Tue Aug 12 01:03:59 IST 2025","passed","Tue Aug 12 01:04:02 IST 2025","","Monitors.spec.js","",""
"","7508","Add Apple monitor 24 to cart and verify","webkit","Tue Aug 12 01:04:34 IST 2025","passed","Tue Aug 12 01:04:42 IST 2025","","Monitors.spec.js","",""
"","4375","Login","chromium","Tue Aug 12 01:03:55 IST 2025","passed","Tue Aug 12 01:03:59 IST 2025","","HomePageTest.spec.js","",""
"","2837","Monitors list check","webkit","Tue Aug 12 01:04:32 IST 2025","passed","Tue Aug 12 01:04:34 IST 2025","","Monitors.spec.js","",""
"","2143","Locate multiple elements and list their text","webkit","Tue Aug 12 01:04:31 IST 2025","passed","Tue Aug 12 01:04:33 IST 2025","","LocatingMultipleElements.spec.js","",""
"","2279","Locate multiple elements and list their text","firefox","Tue Aug 12 01:04:14 IST 2025","passed","Tue Aug 12 01:04:16 IST 2025","","LocatingMultipleElements.spec.js","",""
"","5227","Login","firefox","Tue Aug 12 01:04:05 IST 2025","passed","Tue Aug 12 01:04:10 IST 2025","","HomePageTest.spec.js","",""
"","11942","Add Samsung galaxy s6 to cart and verify","firefox","Tue Aug 12 01:04:22 IST 2025","failed","Tue Aug 12 01:04:34 IST 2025","","Phones.spec.js","",""
"","6501","Verify Samsung galaxy s6 details","firefox","Tue Aug 12 01:04:19 IST 2025","passed","Tue Aug 12 01:04:25 IST 2025","","Phones.spec.js","",""
"","6908","Verify Apple monitor 24 details","firefox","Tue Aug 12 01:04:17 IST 2025","passed","Tue Aug 12 01:04:23 IST 2025","","Monitors.spec.js","",""
"","2440","Mobiles list check","webkit","Tue Aug 12 01:04:34 IST 2025","passed","Tue Aug 12 01:04:37 IST 2025","","Phones.spec.js","",""
"","2237","Monitors list check","firefox","Tue Aug 12 01:04:15 IST 2025","passed","Tue Aug 12 01:04:18 IST 2025","","Monitors.spec.js","",""
"","5537","Verify MacBook air details","chromium","Tue Aug 12 01:03:55 IST 2025","passed","Tue Aug 12 01:04:00 IST 2025","","Laptops.spec.js","",""
"","4301","Verify Apple monitor 24 details","webkit","Tue Aug 12 01:04:33 IST 2025","passed","Tue Aug 12 01:04:37 IST 2025","","Monitors.spec.js","",""
"","5578","Login","webkit","Tue Aug 12 01:04:25 IST 2025","passed","Tue Aug 12 01:04:30 IST 2025","","HomePageTest.spec.js","",""
"","4223","Verify Apple monitor 24 details","chromium","Tue Aug 12 01:04:00 IST 2025","passed","Tue Aug 12 01:04:05 IST 2025","","Monitors.spec.js","",""
"","4138","Mobiles list check","firefox","Tue Aug 12 01:04:18 IST 2025","passed","Tue Aug 12 01:04:22 IST 2025","","Phones.spec.js","",""
"","7440","Add MacBook air to cart and verify","firefox","Tue Aug 12 01:04:11 IST 2025","passed","Tue Aug 12 01:04:19 IST 2025","","Laptops.spec.js","",""
"","4221","Laptops list check","firefox","Tue Aug 12 01:04:09 IST 2025","passed","Tue Aug 12 01:04:13 IST 2025","","Laptops.spec.js","",""
"","4666","Verify Samsung galaxy s6 details","chromium","Tue Aug 12 01:04:04 IST 2025","passed","Tue Aug 12 01:04:08 IST 2025","","Phones.spec.js","",""
"","3237","Laptops list check","webkit","Tue Aug 12 01:04:26 IST 2025","passed","Tue Aug 12 01:04:29 IST 2025","","Laptops.spec.js","",""
"","2304","Mobiles list check","chromium","Tue Aug 12 01:04:02 IST 2025","passed","Tue Aug 12 01:04:04 IST 2025","","Phones.spec.js","",""
"","2836","Laptops list check","chromium","Tue Aug 12 01:03:55 IST 2025","passed","Tue Aug 12 01:03:57 IST 2025","","Laptops.spec.js","",""
"","8355","Add MacBook air to cart and verify","webkit","Tue Aug 12 01:04:29 IST 2025","passed","Tue Aug 12 01:04:38 IST 2025","","Laptops.spec.js","",""
"","4977","Verify MacBook air details","webkit","Tue Aug 12 01:04:26 IST 2025","passed","Tue Aug 12 01:04:31 IST 2025","","Laptops.spec.js","",""
